marca,modelo,ano,cor,placa,chassi,valor_compra,valor_venda,status,observacoes
YAMAHA,MT07 ABS,2022/2023,AZUL,LUQ-9D57,9C6RM0940P0006341,0,0,Salão,
YAMAHA,FLUO 125,2023/2024,AZUL,TCW-5E33,9C6SEJ310R0023157,0,0,Salão,
YAMAHA,YS 150 FAZER ,2024/2025,VERMELHA,5SE0B39,9C6RG385050072039,0,0,Vendida,
YAMAHA,neo 125,NEO 125,AZUL,TTD1A95,9C65EB54050010906,0,0,Vendida,
YAMAHA,NEO 125,2024/2025,AZUL,TUG0E51,9C6SEB540S0013309,0,0,Vendida,
YAMAHA,FZ 25 FAZER,2024/2025,AZUL,TTC2I88,9C6RG5040S0003119,0,0,Vendida,
YAMAHA,YS150 FAZER SED,2015/2015,BRANCA,LMG8519,9C6KG0650F0030288,0,0,Salão,
HONDA,ADV 150,2022/2022,VERMELHA,RKB8A48,9C2KF4300NR008744,0,0,Salão,
YAMAHA,YZF R15 ABS,2025/2025,CINZA,TTC-5D47,9C6RG8310S0009108,0,0,Salão,
JTZ,CHOPPER RH,2020/2021,VERMELHA,RKU6C15,99KPCK7HKMM101923,0,0,Salão,
HONDA,PCX 150,2021/2021,CINZA,RJB4F56,9C2KF3400MR010285,0,0,Salão,
HONDA,LEAD 110,2015/2015,VERMELHA,KQW8733,9C2JF2500FR500156,0,0,Salão,
HONDA,PCX 150,2015/2015,BRANCA,KQY4C84,9C2KF1710FR806797,0,0,Salão,MAIO/2025 MAIO ESTÁ EM PATY 
HONDA,CG 160 FAN,2025/2025,AZUL,TTE-9F32,9C2KC2200SR249882,0,0,Salão,
HONDA,CB 500F,2023/2023,PRATA,RKJ9G98,9C2PC4820PR002844,0,0,Salão,MOTO PELA SEGUNDA VEZ CONSIGNADA NA LOJA
BMW,G310 GS,2023/2023,MARROM,RIW4D57,99Z0G009PZ921679,0,0,Salão,07/05/25 SYPRIANO LEVOU A CHAVE
YAMAHA,XMAX,2024/2024,VERDE,SRY-4F01,9C6SRG6210R0029416,0,0,Vendida,
YAMAHA ,XMAX,2025/2025,PRETA,,9C6SG8610S0003489,0,0,Vendida,
HONDA,SAHARA RALLY 300,2025/2025,VERMELHA,,9C2NDI730SR18116,0,0,Vendida,
yamaha,fz25 fazer,2025/2025,azul,,9c6rg5040s0019732,0,0,Salão,
yamaha,xtz250 lander,2025/2025,VERMELHA,TTR1B70,9C6DG3340S0015580,0,0,Vendida,
YAMAHA,YBR125I FACTOR ED,2024/2025,PRETA,,9C6RE2140S0066235,0,0,Salão,
YAMAHA,XTZ250 LANDER,2025/2025,AZUL,,9C6DG3340S0017089,0,0,Salão,
YAMAHA,YBR150 FACTOR,2025/2025,BRANCA,,9C6RG9910S0006841,0,0,Salão,
YAMAHA,NMAX 160,2025/2025,VERMELHA,,9C6SG9110S0006699,0,0,Salão,
YAMAHA,FZ25 FAZER,2025/2025,VERMELHA,,9C6RG5040S0013999,0,0,Salão,
YAMAHA,FZ25 FAZER,2025/2025,BRANCA,,9C6RG5040S0020372,0,0,Salão,
YAMAHA,MT03 ABS,2020/2020,AZUL,RJY1C25,9C6RH1140L0017728,0,0,Salão,
HONDA,NXR160 BROS CBS,2025/2025,VERMELHA,,9C2KD0810SR075735,0,0,Salão,
HONDA,POP 110I ES,2025/2026,BRANCA,,9C2JB0100TR204483,0,0,Salão,
TRIUMPH ,TIGER 900 RALLYP,2024/2025,CINZA,SGA-5G22,97NC83DEXSMCA4139,0,0,Salão,
YAMAHA,YS150 FAZER SED,2014/2014,BRANCA,KWJ7A69,9C6KG0650E0010859,0,0,Salão,
Yamaha ,Nmax,2020/2020,Vermelha,Rkb0f72,9c6sg3310l0047982,0,0,Vendida,
Yamaha,Mt03 abs,2024/2024,Cinza,Srp7h34,9c6rh1150r0030984,0,0,Vendida,
Yamaha,Nmax,2025/2025,Prata,TUG0i96,9c6sg9110s0006806,0,0,Vendida,
Yamaha ,Mt03 abs,2023/2024,Preta,Sqv1g71,9c6eh1150r0023602,0,0,Vendida,
YAMAHA ,NMAX 160,2025\2025,PRATA,TTF5F66,9C6SG9110S0005388,0,0,Vendida,
HONDA,PCX 160 ABS,2024/2025,VERMELHA,TTK0F58,9C2KF5210SR001559,0,0,Vendida,
YAMAHA ,NMAX 160,2024\2024,VERMELHA,TTF3D19,9C6SG5920R0028990,0,0,Vendida,
YAMAHA ,XMAX ,2025\2025,PRETA,TTS0G30,9C6SG8610S000213,0,0,Vendida,
HONDA,FAN 160,2025/2025,PR,,9c2kc2200sr217638,0,0,Vendida,
YAMAHA,YZF R1,2014/2015,BRANCA,GCV8I70,JYARN3018FA000555,0,0,Vendida,
HONDA,CG 160 FAN ,2016\2016,PRATA ,LSN8F68,9C2KC2200GR501159,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2024/2025,AZUL,TUS0D88,9C2KF5220SR001774,0,0,Vendida,
HONDA,CG 160 START ,2024\2024,PRATA ,SRF8C86,9C2KC2500RR081329,0,0,Vendida,
HONDA,CRF 250,2025/2025,VERMELHA,,9C2ME1338SR305642,0,0,Vendida,
HONDA,CG 160 FAN,2024/2025,LARANJA,,9C2KC2210SR010693,0,0,Vendida,
"HONDA,XR300L TORNADO  ,2024/2025,VERMELHA,SSB4I36,9C2ND1910SR002031,0,0,Vendida,MANUAL: SIM
CHAVE RESERVA: SIM
DEBITOS CONSIGNAÇÃO IPVA 2025 R$ 369,80 + GRT 2025 R$ 281,00
VALOR DO CUSTO R$ 30.000,00 + R$184,90"
YAMAHA,XMAX ,2020/2021,ROSA,RKG1D12,9C6SG6210M0000579,0,0,Vendida,CUSTO R$18.000,00 - MANUAL: SIM - CHAVE RESERVA: APENAS O CÓDIGO DA CHAVE 
YAMAHA,NEO 125,2016/2017,CINZA,LSU6892,9C6SEB510H0000772,0,0,Vendida,CUSTO R$6.000,00 - DOC DIGITAL 2025 COM CÓDIGO DE SEGURAÇA - SEM CHAVE RESERVA 
FUN MOTORS ,QUADRICICLO RHINO 110cc,,,,00000000000000,0,0,Vendida,CUSTO R$ 7.289,02 
YAMAHA,FZ25 FAZER,2024/2025,VERMELHA,TTE3F75,9C6RG5040S0008271,0,0,Vendida,CUSTO R$22.590,00 + R$374,50 - MANUAL: SIM - CHAVE RESERVA: SIM 
YAMAHA ,NEO 125,2024/2025,CINZA,TUW0F34,9C6SEB540S0012891,0,0,Vendida,CUSTO R$13.350,00 + R$374,50 + R$85,88
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TTF-5J66,9C2KF5220SR005706,0,0,Salão,
